FK_ZAEHLER;FK_STANDORT;DATUM;VELO_IN;VELO_OUT;FUSS_IN;FUSS_OUT;OST;NORD
ECO07091438;3919;2019-01-19T23:00;5;1;;;2682873;1245891
ECO07091438;3919;2019-01-20T00:00;10;4;;;2682873;1245891
ECO07091438;3919;2019-01-20T01:00;3;3;;;2682873;1245891
ECO07091438;3919;2019-01-20T02:00;1;0;;;2682873;1245891
ECO07091438;3919;2019-01-20T03:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-20T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-20T05:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-20T06:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-20T07:00;3;13;;;2682873;1245891
ECO07091438;3919;2019-01-20T08:00;5;6;;;2682873;1245891
ECO07091438;3919;2019-01-20T09:00;9;3;;;2682873;1245891
ECO07091438;3919;2019-01-20T10:00;10;7;;;2682873;1245891
ECO07091438;3919;2019-01-20T11:00;23;5;;;2682873;1245891
ECO07091438;3919;2019-01-20T12:00;24;6;;;2682873;1245891
ECO07091438;3919;2019-01-20T13:00;30;11;;;2682873;1245891
ECO07091438;3919;2019-01-20T14:00;17;21;;;2682873;1245891
ECO07091438;3919;2019-01-20T15:00;28;9;;;2682873;1245891
ECO07091438;3919;2019-01-20T16:00;27;12;;;2682873;1245891
ECO07091438;3919;2019-01-20T17:00;9;9;;;2682873;1245891
ECO07091438;3919;2019-01-20T18:00;4;6;;;2682873;1245891
ECO07091438;3919;2019-01-20T19:00;4;7;;;2682873;1245891
ECO07091438;3919;2019-01-20T20:00;1;4;;;2682873;1245891
ECO07091438;3919;2019-01-20T21:00;3;1;;;2682873;1245891
ECO07091438;3919;2019-01-20T22:00;3;2;;;2682873;1245891
ECO07091438;3919;2019-01-20T23:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-21T00:00;0;2;;;2682873;1245891
ECO07091438;3919;2019-01-21T01:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-21T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-21T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-21T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-21T05:00;5;21;;;2682873;1245891
ECO07091438;3919;2019-01-21T06:00;30;7;;;2682873;1245891
ECO07091438;3919;2019-01-21T07:00;85;19;;;2682873;1245891
ECO07091438;3919;2019-01-21T08:00;93;20;;;2682873;1245891
ECO07091438;3919;2019-01-21T09:00;42;3;;;2682873;1245891
ECO07091438;3919;2019-01-21T10:00;22;7;;;2682873;1245891
ECO07091438;3919;2019-01-21T11:00;12;8;;;2682873;1245891
ECO07091438;3919;2019-01-21T12:00;19;15;;;2682873;1245891
ECO07091438;3919;2019-01-21T13:00;31;9;;;2682873;1245891
ECO07091438;3919;2019-01-21T14:00;9;13;;;2682873;1245891
ECO07091438;3919;2019-01-21T15:00;15;12;;;2682873;1245891
ECO07091438;3919;2019-01-21T16:00;20;25;;;2682873;1245891
ECO07091438;3919;2019-01-21T17:00;19;38;;;2682873;1245891
ECO07091438;3919;2019-01-21T18:00;15;57;;;2682873;1245891
ECO07091438;3919;2019-01-21T19:00;15;32;;;2682873;1245891
ECO07091438;3919;2019-01-21T20:00;18;16;;;2682873;1245891
ECO07091438;3919;2019-01-21T21:00;7;8;;;2682873;1245891
ECO07091438;3919;2019-01-21T22:00;9;8;;;2682873;1245891
ECO07091438;3919;2019-01-21T23:00;1;2;;;2682873;1245891
ECO07091438;3919;2019-01-22T00:00;1;0;;;2682873;1245891
ECO07091438;3919;2019-01-22T01:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-22T02:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-22T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-22T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-22T05:00;5;22;;;2682873;1245891
ECO07091438;3919;2019-01-22T06:00;27;22;;;2682873;1245891
ECO07091438;3919;2019-01-22T07:00;93;21;;;2682873;1245891
ECO07091438;3919;2019-01-22T08:00;109;19;;;2682873;1245891
ECO07091438;3919;2019-01-22T09:00;39;4;;;2682873;1245891
ECO07091438;3919;2019-01-22T10:00;17;3;;;2682873;1245891
ECO07091438;3919;2019-01-22T11:00;11;4;;;2682873;1245891
ECO07091438;3919;2019-01-22T12:00;12;10;;;2682873;1245891
ECO07091438;3919;2019-01-22T13:00;13;5;;;2682873;1245891
ECO07091438;3919;2019-01-22T14:00;9;9;;;2682873;1245891
ECO07091438;3919;2019-01-22T15:00;14;5;;;2682873;1245891
ECO07091438;3919;2019-01-22T16:00;14;27;;;2682873;1245891
ECO07091438;3919;2019-01-22T17:00;29;50;;;2682873;1245891
ECO07091438;3919;2019-01-22T18:00;18;59;;;2682873;1245891
ECO07091438;3919;2019-01-22T19:00;23;23;;;2682873;1245891
ECO07091438;3919;2019-01-22T20:00;17;11;;;2682873;1245891
ECO07091438;3919;2019-01-22T21:00;12;19;;;2682873;1245891
ECO07091438;3919;2019-01-22T22:00;7;6;;;2682873;1245891
ECO07091438;3919;2019-01-22T23:00;3;4;;;2682873;1245891
ECO07091438;3919;2019-01-23T00:00;1;2;;;2682873;1245891
ECO07091438;3919;2019-01-23T01:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-23T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-23T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-23T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-23T05:00;6;5;;;2682873;1245891
ECO07091438;3919;2019-01-23T06:00;31;14;;;2682873;1245891
ECO07091438;3919;2019-01-23T07:00;82;13;;;2682873;1245891
ECO07091438;3919;2019-01-23T08:00;82;17;;;2682873;1245891
ECO07091438;3919;2019-01-23T09:00;49;17;;;2682873;1245891
ECO07091438;3919;2019-01-23T10:00;15;7;;;2682873;1245891
ECO07091438;3919;2019-01-23T11:00;18;15;;;2682873;1245891
ECO07091438;3919;2019-01-23T12:00;18;15;;;2682873;1245891
ECO07091438;3919;2019-01-23T13:00;20;14;;;2682873;1245891
ECO07091438;3919;2019-01-23T14:00;17;17;;;2682873;1245891
ECO07091438;3919;2019-01-23T15:00;17;12;;;2682873;1245891
ECO07091438;3919;2019-01-23T16:00;22;26;;;2682873;1245891
ECO07091438;3919;2019-01-23T17:00;25;56;;;2682873;1245891
ECO07091438;3919;2019-01-23T18:00;22;38;;;2682873;1245891
ECO07091438;3919;2019-01-23T19:00;18;28;;;2682873;1245891
